# Row index, Scan, Detector, Sample, Sample wheel, Move Sam2 X, Sam2 X, Move Sam2 Y, Sam2 Y, Move Ge detector distance, Ge detector distance, Output, Number of repetitions
Scan:uk.ac.gda.beans.exafs.QEXAFSParameters,Detector:uk.ac.gda.beans.exafs.DetectorParameters,Sample:uk.ac.gda.beans.exafs.b18.B18SampleParameters,Sample:getSampleWheelParameters.getFilter,Sample:getSampleParameterMotorPosition(sam2x).getDoMove,Sample:getSampleParameterMotorPosition(sam2x).getDemandPosition,Sample:getSampleParameterMotorPosition(sam2y).getDoMove,Sample:getSampleParameterMotorPosition(sam2y).getDemandPosition,Sample:getSampleParameterMotorPosition(fluoDist).getDoMove,Sample:getSampleParameterMotorPosition(fluoDist).getDemandPosition,Output:uk.ac.gda.beans.exafs.OutputParameters,Repetitions
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters2.xml,Laser,true,16.0003,true,90.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters1.xml,Ti Foil,false,15.0,true,90.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,Fe Foil,false,14.0,true,90.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,Fe Foil,false,13.0,true,85.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,,true,12.0,true,85.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,Ni Foil,true,11.0,true,70.0,true,-123.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,,true,12.0,true,70.0,true,-130.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,,true,12.0,true,70.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,,true,12.0,true,70.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,Cr Foil,true,12.0,true,70.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,,true,12.0,true,7.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
/scratch/users/data/2024/0-0/xml/Experiment_2_b18/QEXAFS_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Detector_Parameters.xml,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Sample_Parameters.xml,,true,12.0,true,0.0,true,-100.0,/scratch/users/data/2024/0-0/xml/Experiment_2_b18/Output_Parameters.xml,1
